brand,model,year,damage_class,severity,price_tnd
BMW,Serie 3,2020,taillight-damage,light,291.36
Mercedes,GLC,2017,fender-dent,severe,1854.02
Kia,Rio,2025,front-bumper-dent,light,376.82
Toyota,Corolla,2019,taillight-damage,severe,410.23
Ford,Focus,2024,taillight-damage,severe,420.63
Kia,Sportage,2019,rear-bumper-dent,severe,984.56
Volkswagen,Golf,2018,quarterpanel-dent,moderate,792.79
Peugeot,308,2018,taillight-damage,moderate,249.48
BMW,Serie 3,2022,rear-windscreen-damage,moderate,755.57
Peugeot,3008,2020,roof-dent,light,509.87
Hyundai,Tucson,2017,runningboard-dent,moderate,421.37
BMW,X3,2020,pillar-dent,severe,1456.78
Ford,Fiesta,2025,taillight-damage,severe,414.5
BMW,Serie 3,2026,taillight-damage,moderate,445.5
BMW,Serie 3,2017,front-bumper-dent,moderate,1264.11
Hyundai,Tucson,2021,headlight-damage,moderate,319.27
Peugeot,208,2026,sidemirror-damage,severe,300.71
BMW,X3,2026,headlight-damage,severe,801.9
Audi,A3,2023,front-bumper-dent,moderate,1034.55
Kia,Rio,2026,signlight-damage,light,89.1
Audi,A3,2021,front-bumper-dent,moderate,1064.25
BMW,Serie 3,2025,runningboard-dent,severe,1017.41
Peugeot,208,2026,rear-bumper-dent,moderate,534.6
Hyundai,i20,2020,headlight-damage,light,194.24
Kia,Ceed,2020,quarterpanel-dent,severe,1052.12
Renault,Captur,2022,signlight-damage,light,89.72
Mercedes,GLC,2023,rear-windscreen-damage,light,496.58
BMW,Serie 3,2026,headlight-damage,severe,801.9
Renault,Captur,2017,front-bumper-dent,moderate,667.17
Ford,Fiesta,2024,sidemirror-damage,severe,378.56
Toyota,RAV4,2017,fender-dent,severe,927.01
Volkswagen,Tiguan,2021,rear-windscreen-damage,moderate,468.27
Renault,Clio,2023,front-windscreen-damage,severe,663.41
Volkswagen,Tiguan,2018,bonnet-dent,light,548.86
Volkswagen,Tiguan,2024,doorouter-dent,light,471.1
Mercedes,Classe C,2018,bonnet-dent,severe,2494.8
Toyota,RAV4,2021,rear-bumper-dent,light,383.13
BMW,X5,2020,taillight-damage,light,291.36
Audi,Q5,2017,rear-windscreen-damage,severe,1078.7
Hyundai,i20,2024,roof-dent,light,535.34
Mercedes,GLC,2023,bonnet-dent,light,931.09
Volkswagen,Tiguan,2025,front-bumper-dent,light,414.5
Kia,Ceed,2019,quarterpanel-dent,moderate,711.07
Renault,Captur,2026,signlight-damage,moderate,141.07
Kia,Sportage,2017,taillight-damage,light,168.55
BMW,X5,2016,doorouter-dent,severe,2151.76
Audi,Q5,2019,front-windscreen-damage,light,472.59
Toyota,Corolla,2017,runningboard-dent,light,252.82
Peugeot,208,2024,taillight-damage,moderate,229.43
Hyundai,i20,2024,headlight-damage,severe,458.86
Ford,Kuga,2023,taillight-damage,moderate,284.5
Renault,Clio,2017,rear-windscreen-damage,severe,640.48
